Protein_ID,Domain_ID,Domain_Name,Genomic_Start,Genomic_End
ENSP00000487891,PF07686,V-set,548125,548388
ENSP00000487850,PF07686,V-set,483861,484121
ENSP00000487798,PF07686,V-set,364567,364827
ENSP00000488603,PF07686,V-set,311307,311564
ENSP00000487814,PF07686,V-set,835567,835821
ENSP00000487964,PF07686,V-set,564352,564612
ENSP00000488814,PF07686,V-set,270680,270940
ENSP00000488870,PF07686,V-set,491159,491395
ENSP00000488861,PF07686,V-set,743237,743482
ENSP00000488741,PF07686,V-set,453356,453601
ENSP00000488551,PF07686,V-set,596918,597178
ENSP00000446309,PF07686,V-set,21622305,21622562
ENSP00000439668,PF07686,V-set,21643327,21643578
ENSP00000438195,PF07686,V-set,21712596,21712838
ENSP00000444955,PF07686,V-set,21724051,21724314
ENSP00000451535,PF07686,V-set,21736721,21736975
ENSP00000446355,PF07686,V-set,21749456,21749698
ENSP00000374915,PF07686,V-set,142345717,142345974
ENSP00000488969,PF07686,V-set,142349396,142349653
ENSP00000489072,PF07686,V-set,142353084,142353347
ENSP00000374886,PF07686,V-set,142392142,142392402
ENSP00000374883,PF07686,V-set,142380990,142381250
ENSP00000374880,PF07686,V-set,142313425,142313655
ENSP00000374910,PF07686,V-set,142308777,142309037
ENSP00000374884,PF07686,V-set,142384567,142384824
ENSP00000374904,PF07686,V-set,142321274,142321534
ENSP00000374885,PF07686,V-set,142389398,142389658
ENSP00000374876,PF07686,V-set,142328518,142328775
ENSP00000388523,PF07686,V-set,142301158,142301421
ENSP00000448600,PF07686,V-set,142332490,142332690
ENSP00000438290,PF07686,V-set,21768816,21769073
ENSP00000443297,PF07686,V-set,21783269,21783499
ENSP00000443059,PF07686,V-set,21797627,21797881
ENSP00000438446,PF07686,V-set,21811712,21811969
ENSP00000440313,PF07686,V-set,21825811,21826071
ENSP00000445405,PF07686,V-set,21841516,21841770
ENSP00000439323,PF07686,V-set,21846959,21847216
ENSP00000440087,PF07686,V-set,21852750,21853001
ENSP00000441696,PF07686,V-set,21869101,21869358
ENSP00000437362,PF07686,V-set,21888241,21888498
ENSP00000445942,PF07686,V-set,21894774,21895025
ENSP00000438480,PF07686,V-set,21918504,21918749
ENSP00000446015,PF07686,V-set,21924380,21924643
ENSP00000452011,PF07686,V-set,21941392,21941649
ENSP00000451822,PF07686,V-set,21965800,21966057
ENSP00000450505,PF07686,V-set,21978867,21979115
ENSP00000451359,PF07686,V-set,21990685,21990930
ENSP00000452087,PF07686,V-set,21997910,21998161
ENSP00000451574,PF07686,V-set,22003411,22003665
ENSP00000452148,PF07686,V-set,22007910,22008170
ENSP00000452067,PF07686,V-set,22040895,22041149
ENSP00000452526,PF07686,V-set,22052799,22053053
ENSP00000452420,PF07686,V-set,22070953,22071204
ENSP00000451203,PF07686,V-set,22086697,22086954
ENSP00000452111,PF07686,V-set,22096351,22096608
ENSP00000451837,PF07686,V-set,22105585,22105842
ENSP00000452100,PF07686,V-set,22112780,22113028
ENSP00000452431,PF07686,V-set,22124021,22124278
ENSP00000450448,PF07686,V-set,22132772,22133026
ENSP00000451735,PF07686,V-set,22148375,22148629
ENSP00000452209,PF07686,V-set,22163606,22163863
ENSP00000451308,PF07686,V-set,22168727,22168981
ENSP00000450970,PF07686,V-set,22203105,22203356
ENSP00000452002,PF07686,V-set,22207868,22208122
ENSP00000450804,PF07686,V-set,22226993,22227250
ENSP00000450950,PF07686,V-set,22272289,22272552
ENSP00000452332,PF07686,V-set,22281475,22281738
ENSP00000450865,PF07686,V-set,22304295,22304549
ENSP00000452585,PF07686,V-set,22314681,22314908
ENSP00000451177,PF07686,V-set,22320437,22320688
ENSP00000374887,PF07686,V-set,142400106,142400366
ENSP00000374890,PF07686,V-set,142407865,142408125
ENSP00000404652,PF07686,V-set,142425194,142425454
ENSP00000374891,PF07686,V-set,142451180,142451437
ENSP00000374892,PF07686,V-set,142455361,142455624
ENSP00000413966,PF07686,V-set,142463311,142463571
ENSP00000374894,PF07686,V-set,142469757,142470002
ENSP00000374895,PF07686,V-set,142482749,142483009
ENSP00000374896,PF07686,V-set,142488045,142488284
ENSP00000374897,PF07686,V-set,142492399,142492662
ENSP00000374898,PF07686,V-set,142500264,142500524
ENSP00000374899,PF07686,V-set,142507563,142507799
ENSP00000374900,PF07686,V-set,142511853,142512116
ENSP00000374901,PF07686,V-set,142520286,142520546
ENSP00000478301,PF07686,V-set,142529488,142529751
ENSP00000477580,PF07686,V-set,142536021,142536281
ENSP00000479267,PF07686,V-set,142544414,142544677
ENSP00000480080,PF07686,V-set,142555077,142555307
ENSP00000477916,PF07686,V-set,142560660,142560920
ENSP00000480999,PF07686,V-set,142563974,142564234
ENSP00000479506,PF07686,V-set,142581153,142581416
ENSP00000397118,PF07686,V-set,142812594,142812848
ENSP00000368747,PF07686,V-set,33618234,33618500
ENSP00000374864,PF07686,V-set,38299819,38300091
ENSP00000391561,PF07686,V-set,38317029,38317295
ENSP00000374866,PF07686,V-set,38330352,38330618
ENSP00000374867,PF07686,V-set,38349364,38349630
ENSP00000374868,PF07686,V-set,38353724,38353987
ENSP00000374869,PF07686,V-set,38358521,38358787
ENSP00000404928,PF07686,V-set,38362873,38363136
ENSP00000374871,PF07686,V-set,38367595,38367858
ENSP00000477671,PF07686,V-set,142588103,142588348
ENSP00000482333,PF07686,V-set,142593202,142593462
ENSP00000479210,PF07686,V-set,142598195,142598458
ENSP00000483468,PF07686,V-set,142602089,142602346
ENSP00000483504,PF07686,V-set,142616141,142616407
ENSP00000374916,PF07686,V-set,142619261,142619521
ENSP00000374917,PF07686,V-set,142627125,142627391
ENSP00000374919,PF07686,V-set,142646193,142646456
ENSP00000374920,PF07686,V-set,142656941,142657201
ENSP00000374921,PF07686,V-set,142670973,142671233
ENSP00000374922,PF07686,V-set,142715590,142715850
ENSP00000374923,PF07686,V-set,142720889,142721149
ENSP00000395459,PF07686,V-set,142740644,142740889
ENSP00000451468,PF07654,C1-set,22462965,22463162
ENSP00000480116,PF09291,DUF1968,22547524,22547769
ENSP00000488819,PF07654,C1-set,814697,814972
ENSP00000478873,PF07654,C1-set,824044,824319
ENSP00000487742,PF07654,C1-set,142791724,142791999
ENSP00000417300,PF07654,C1-set,142801071,142801346
ENSP00000413437,PF07654,C1-set,38249291,38249533
ENSP00000404817,PF07654,C1-set,38265397,38265639
ENSP00000478870,PF07654,C1-set,56479,56721
ENSP00000478870,PF00047,ig,55932,56171
ENSP00000478870,PF07654,C1-set,55395,55667
ENSP00000487823,PF07654,C1-set,238911,239153
ENSP00000487823,PF07654,C1-set,237462,237728
ENSP00000487823,PF07654,C1-set,237053,237307
ENSP00000481089,PF07654,C1-set,69233,69442
ENSP00000481089,PF07654,C1-set,68699,68902
ENSP00000481089,PF07654,C1-set,68295,68546
ENSP00000481089,PF07654,C1-set,67894,68151
ENSP00000488021,PF07654,C1-set,176162,176413
ENSP00000488021,PF00047,ig,175576,175815
ENSP00000488021,PF07654,C1-set,175039,175311
ENSP00000487867,PF07654,C1-set,210577,210819
ENSP00000487867,PF07654,C1-set,209699,209965
ENSP00000487867,PF07654,C1-set,209290,209544
ENSP00000488387,PF07654,C1-set,210577,210819
ENSP00000488387,PF07654,C1-set,209699,209965
ENSP00000488387,PF07654,C1-set,209290,209544
ENSP00000488811,PF07654,C1-set,210577,210819
ENSP00000488811,PF07654,C1-set,209290,209544
ENSP00000483393,PF07654,C1-set,93572,93814
ENSP00000483393,PF07654,C1-set,92702,92968
ENSP00000483393,PF07654,C1-set,92293,92547
ENSP00000480351,PF07654,C1-set,112296,112538
ENSP00000480351,PF07654,C1-set,111429,111695
ENSP00000480351,PF07654,C1-set,111020,111274
ENSP00000488303,PF07654,C1-set,313177,313398
ENSP00000488303,PF20838,IgD_del_linker,309730,312683
ENSP00000488303,PF00047,ig,308691,308936
ENSP00000488303,PF07654,C1-set,308178,308396
ENSP00000485962,PF07654,C1-set,323709,323927
ENSP00000485962,PF07654,C1-set,323286,323555
ENSP00000485962,PF07654,C1-set,322726,322983
ENSP00000485962,PF07654,C1-set,322214,322483
ENSP00000493114,PF07654,C1-set,105708393,105708644
ENSP00000493114,PF00047,ig,105707807,105708046
ENSP00000493114,PF07654,C1-set,105707270,105707542
ENSP00000374989,PF07654,C1-set,105708393,105708644
ENSP00000374989,PF00047,ig,105707807,105708046
ENSP00000374989,PF07654,C1-set,105707270,105707542
ENSP00000374855,PF07654,C1-set,22895399,22895653
ENSP00000374856,PF07654,C1-set,22901000,22901254
ENSP00000374857,PF07654,C1-set,22906366,22906620
ENSP00000374859,PF07654,C1-set,22922618,22922872
ENSP00000374990,PF07654,C1-set,105742808,105743050
ENSP00000374990,PF07654,C1-set,105741930,105742196
ENSP00000374990,PF07654,C1-set,105741521,105741775
ENSP00000374991,PF07654,C1-set,105742808,105743050
ENSP00000374991,PF07654,C1-set,105741930,105742196
ENSP00000374991,PF07654,C1-set,105741521,105741775
ENSP00000374984,PF07654,C1-set,105742808,105743050
ENSP00000374984,PF07654,C1-set,105741521,105741775
ENSP00000492969,PF07654,C1-set,105771142,105771384
ENSP00000492969,PF07654,C1-set,105769693,105769959
ENSP00000492969,PF07654,C1-set,105769284,105769538
ENSP00000374993,PF07654,C1-set,105771142,105771384
ENSP00000374993,PF07654,C1-set,105769693,105769959
ENSP00000374993,PF07654,C1-set,105769284,105769538
ENSP00000374998,PF07654,C1-set,105845408,105845629
ENSP00000374998,PF20838,IgD_del_linker,105841961,105844914
ENSP00000374998,PF00047,ig,105840922,105841167
ENSP00000374998,PF07654,C1-set,105840409,105840627
ENSP00000490253,PF07654,C1-set,105855940,105856158
ENSP00000490253,PF07654,C1-set,105855517,105855750
ENSP00000490253,PF07654,C1-set,105854957,105855214
ENSP00000490253,PF07654,C1-set,105854445,105854714
ENSP00000375001,PF07654,C1-set,105855940,105856158
ENSP00000375001,PF07654,C1-set,105855517,105855786
ENSP00000375001,PF07654,C1-set,105854957,105855214
ENSP00000375001,PF07654,C1-set,105854445,105854714
ENSP00000493086,PF07654,C1-set,105588123,105588365
ENSP00000493086,PF00047,ig,105587576,105587815
ENSP00000493086,PF07654,C1-set,105587039,105587311
ENSP00000374981,PF07654,C1-set,105588123,105588365
ENSP00000374981,PF00047,ig,105587576,105587815
ENSP00000374981,PF07654,C1-set,105587039,105587311
ENSP00000492979,PF07654,C1-set,105601459,105601668
ENSP00000492979,PF07654,C1-set,105600925,105601128
ENSP00000492979,PF07654,C1-set,105600521,105600772
ENSP00000492979,PF07654,C1-set,105600120,105600377
ENSP00000374983,PF07654,C1-set,105601459,105601668
ENSP00000374983,PF07654,C1-set,105600925,105601128
ENSP00000374983,PF07654,C1-set,105600521,105600772
ENSP00000374983,PF07654,C1-set,105600120,105600377
ENSP00000493388,PF07654,C1-set,105625803,105626045
ENSP00000493388,PF07654,C1-set,105624933,105625199
ENSP00000493388,PF07654,C1-set,105624524,105624778
ENSP00000374985,PF07654,C1-set,105625803,105626045
ENSP00000374985,PF07654,C1-set,105624933,105625199
ENSP00000374985,PF07654,C1-set,105624524,105624778
ENSP00000493129,PF07654,C1-set,105644527,105644769
ENSP00000493129,PF07654,C1-set,105643660,105643926
ENSP00000493129,PF07654,C1-set,105643251,105643505
ENSP00000374987,PF07654,C1-set,105644527,105644769
ENSP00000374987,PF07654,C1-set,105643660,105643926
ENSP00000374987,PF07654,C1-set,105643251,105643505
ENSP00000374777,PF07654,C1-set,88857402,88857662
ENSP00000481738,PF07686,V-set,10649405,10649659
ENSP00000487796,PF07686,V-set,6341,6592
ENSP00000488639,PF07686,V-set,56133,56396
ENSP00000488804,PF07686,V-set,75106,75357
ENSP00000487957,PF07686,V-set,87312,87566
ENSP00000488413,PF07686,V-set,101253,101504
ENSP00000488384,PF07686,V-set,118826,119077
ENSP00000487987,PF07686,V-set,136015,136266
ENSP00000488148,PF07686,V-set,149068,149319
ENSP00000488086,PF07686,V-set,194018,194272
ENSP00000488377,PF07686,V-set,208694,208954
ENSP00000488092,PF07686,V-set,226186,226437
ENSP00000487628,PF07686,V-set,251418,251672
ENSP00000488349,PF07686,V-set,268595,268843
ENSP00000488087,PF07686,V-set,285172,285438
ENSP00000488456,PF07686,V-set,322264,322518
ENSP00000487690,PF07686,V-set,330542,330808
ENSP00000488685,PF07686,V-set,353625,353891
ENSP00000488818,PF07686,V-set,376836,377096
ENSP00000487732,PF07686,V-set,376845,377096
ENSP00000487793,PF07686,V-set,406114,406359
ENSP00000488680,PF07686,V-set,428469,428720
ENSP00000488763,PF07686,V-set,438960,439229
ENSP00000487928,PF07686,V-set,438959,439228
ENSP00000374848,PF07686,V-set,22772305,22772571
ENSP00000374849,PF07686,V-set,22792719,22792979
ENSP00000474284,PF07686,V-set,22160436,22160690
ENSP00000486959,PF07686,V-set,21717813,21718067
ENSP00000479937,PF07686,V-set,21742369,21742629
ENSP00000474509,PF07686,V-set,19987661,19987924
ENSP00000474639,PF07686,V-set,19964671,19964922
ENSP00000488236,PF07686,V-set,584409,584666
ENSP00000488259,PF07686,V-set,492919,493176
ENSP00000488747,PF07686,V-set,678710,678961
ENSP00000488412,PF07686,V-set,744320,744574
ENSP00000488609,PF07686,V-set,555896,556153
ENSP00000487658,PF07686,V-set,817057,817323
ENSP00000487722,PF07686,V-set,472869,473123
ENSP00000482820,PF07686,V-set,865345,865590
ENSP00000488798,PF07686,V-set,913393,913656
ENSP00000487655,PF07686,V-set,826787,827044
ENSP00000487805,PF07686,V-set,702836,703093
ENSP00000488436,PF07686,V-set,998680,998934
ENSP00000488402,PF07686,V-set,792028,792288
ENSP00000488526,PF07686,V-set,1084360,1084611
ENSP00000487809,PF07686,V-set,632977,633234
ENSP00000488851,PF07686,V-set,597314,597568
ENSP00000488395,PF07686,V-set,652673,652927
ENSP00000488753,PF07686,V-set,851475,851732
ENSP00000488587,PF07686,V-set,575746,575997
ENSP00000488676,PF07686,V-set,1149407,1149667
ENSP00000488667,PF07686,V-set,881074,881331
ENSP00000488894,PF07686,V-set,621396,621659
ENSP00000483207,PF07686,V-set,1070426,1070680
ENSP00000487659,PF07686,V-set,529923,530180
ENSP00000487857,PF07686,V-set,769171,769446
ENSP00000484250,PF07686,V-set,1118933,1119190
ENSP00000487677,PF07686,V-set,1261752,1262018
ENSP00000487611,PF07686,V-set,961949,962215
ENSP00000487902,PF07686,V-set,1166699,1166950
ENSP00000488019,PF07686,V-set,1281871,1282134
ENSP00000480183,PF07686,V-set,1281871,1282134
ENSP00000487990,PF07686,V-set,1029494,1029751
ENSP00000488097,PF07686,V-set,1253366,1253620
ENSP00000488516,PF07686,V-set,1114041,1114295
ENSP00000473889,PF07686,V-set,505678,505953
ENSP00000487827,PF07686,V-set,1241982,1242230
ENSP00000487804,PF07686,V-set,902178,902429
ENSP00000488432,PF07686,V-set,1293871,1294134
ENSP00000487694,PF07686,V-set,1130803,1131066
ENSP00000488600,PF07686,V-set,1301619,1301876
ENSP00000488441,PF07686,V-set,1215260,1215526
ENSP00000488126,PF07686,V-set,840989,841249
ENSP00000479304,PF07686,V-set,1228794,1229048
ENSP00000488205,PF07686,V-set,802854,803111
ENSP00000487977,PF07686,V-set,479696,479956
ENSP00000488090,PF07686,V-set,1206366,1206620
ENSP00000488069,PF07686,V-set,1048620,1048883
ENSP00000488713,PF07686,V-set,1002799,1003053
ENSP00000487761,PF07686,V-set,736380,736637
ENSP00000488134,PF07686,V-set,407528,407803
ENSP00000488290,PF07686,V-set,454356,454610
ENSP00000375018,PF07686,V-set,106268611,106268868
ENSP00000375025,PF07686,V-set,106373666,106373911
ENSP00000375027,PF07686,V-set,106410499,106410750
ENSP00000375021,PF07686,V-set,106324259,106324519
ENSP00000375016,PF07686,V-set,106235067,106235324
ENSP00000488230,PF07686,V-set,106088127,106088384
ENSP00000375026,PF07686,V-set,106389395,106389652
ENSP00000375012,PF07686,V-set,106153627,106153890
ENSP00000375015,PF07686,V-set,106210941,106211192
ENSP00000375019,PF07686,V-set,106276551,106276805
ENSP00000375024,PF07686,V-set,106359796,106360053
ENSP00000474524,PF07686,V-set,106335085,106335342
ENSP00000488144,PF07686,V-set,106107977,106108228
ENSP00000375020,PF07686,V-set,106301402,106301677
ENSP00000375014,PF07686,V-set,106184904,106185158
ENSP00000395656,PF07686,V-set,106349288,106349554
ENSP00000375011,PF07686,V-set,106129545,106129799
ENSP00000375013,PF07686,V-set,106165208,106165465
ENSP00000375010,PF07686,V-set,106116640,106116897
ENSP00000479659,PF07686,V-set,45645,45911
ENSP00000485735,PF07686,V-set,7616,7885
ENSP00000485820,PF07686,V-set,230448,230693
ENSP00000487591,PF07686,V-set,63373,63666
ENSP00000480490,PF07686,V-set,21764,22021
ENSP00000479309,PF07686,V-set,67821,68090
ENSP00000487241,PF07686,V-set,29332,29625
ENSP00000486583,PF07686,V-set,224064,224333
ENSP00000487513,PF07686,V-set,2757,3047
ENSP00000485892,PF07686,V-set,2777,3028
ENSP00000487088,PF07686,V-set,41457,41711
ENSP00000486977,PF07686,V-set,27613,27864
ENSP00000374817,PF07686,V-set,22031189,22031461
ENSP00000374822,PF07686,V-set,22214988,22215251
ENSP00000374818,PF07686,V-set,22098932,22099192
ENSP00000374819,PF07686,V-set,22162398,22162673
ENSP00000374820,PF07686,V-set,22195993,22196262
ENSP00000374821,PF07686,V-set,22201862,22202152
ENSP00000374824,PF07686,V-set,22318922,22319215
ENSP00000374825,PF07686,V-set,22322686,22322952
ENSP00000374826,PF07686,V-set,22327530,22327802
ENSP00000414456,PF07686,V-set,22343430,22343708
ENSP00000374828,PF07686,V-set,22353134,22353376
ENSP00000374829,PF07686,V-set,22357979,22358245
ENSP00000374830,PF07686,V-set,22369809,22370069
ENSP00000374831,PF07686,V-set,22376206,22376496
ENSP00000374832,PF07686,V-set,22381064,22381333
ENSP00000374833,PF07686,V-set,22395211,22395468
ENSP00000374834,PF07686,V-set,22409996,22410262
ENSP00000374835,PF07686,V-set,22427736,22428029
ENSP00000374836,PF07686,V-set,22432182,22432451
ENSP00000375028,PF07686,V-set,106421714,106421977
ENSP00000399826,PF07686,V-set,106470270,106470536
ENSP00000375030,PF07686,V-set,106507001,106507255
ENSP00000375031,PF07686,V-set,106511120,106511374
ENSP00000375033,PF07686,V-set,106537815,106538072
ENSP00000375034,PF07686,V-set,106556941,106557204
ENSP00000375035,PF07686,V-set,106578747,106579001
ENSP00000375036,PF07686,V-set,106592681,106592932
ENSP00000375037,PF07686,V-set,106622362,106622616
ENSP00000375038,PF07686,V-set,106627254,106627511
ENSP00000374837,PF07686,V-set,22588407,22588676
ENSP00000374838,PF07686,V-set,22594791,22595036
ENSP00000374839,PF07686,V-set,22668537,22668794
ENSP00000374840,PF07686,V-set,22687004,22687258
ENSP00000374841,PF07686,V-set,22698137,22698394
ENSP00000374842,PF07686,V-set,22704556,22704801
ENSP00000374843,PF07686,V-set,22712922,22713191
ENSP00000374844,PF07686,V-set,22720881,22721135
ENSP00000374845,PF07686,V-set,22734805,22735077
ENSP00000374846,PF07686,V-set,22747644,22747898
ENSP00000374847,PF07686,V-set,22758927,22759199
ENSP00000420436,PF07686,V-set,88947307,88947570
ENSP00000374779,PF07686,V-set,88897515,88897766
ENSP00000374850,PF07686,V-set,22812004,22812264
ENSP00000374851,PF07686,V-set,22819480,22819746
ENSP00000482937,PF07686,V-set,22823005,22823277
ENSP00000374853,PF07686,V-set,22871734,22872000
ENSP00000374854,PF07686,V-set,22881120,22881386
ENSP00000375002,PF07686,V-set,105939759,105940034
ENSP00000375003,PF07686,V-set,105986587,105986841
ENSP00000375004,PF07686,V-set,106005100,106005354
ENSP00000410711,PF07686,V-set,106011927,106012187
ENSP00000487727,PF07686,V-set,106025150,106025407
ENSP00000375006,PF07686,V-set,106037909,106038184
ENSP00000375007,PF07686,V-set,106062154,106062411
ENSP00000375039,PF07686,V-set,106639124,106639387
ENSP00000401707,PF07686,V-set,106657728,106657988
ENSP00000375041,PF07686,V-set,106675020,106675271
ENSP00000375042,PF07686,V-set,106714687,106714941
ENSP00000375043,PF07686,V-set,106723581,106723847
ENSP00000487714,PF07686,V-set,106737115,106737369
ENSP00000485152,PF07686,V-set,106762097,106762351
ENSP00000485200,PF07686,V-set,106770584,106770847
ENSP00000416201,PF07686,V-set,106790697,106790960
ENSP00000375045,PF07686,V-set,106802697,106802960
ENSP00000394447,PF07686,V-set,106810445,106810702
ENSP00000375048,PF07686,V-set,106874586,106874840
ENSP00000474297,PF07686,V-set,87338761,87339015
ENSP00000473987,PF07686,V-set,22184972,22185232
ENSP00000474363,PF07686,V-set,32066098,32066355
ENSP00000474384,PF07686,V-set,32847886,32848149
ENSP00000474941,PF07686,V-set,32995246,32995500
ENSP00000474964,PF07686,V-set,33009362,33009619
ENSP00000474013,PF07686,V-set,33803003,33803212
ENSP00000474814,PF07686,V-set,33827399,33827656
ENSP00000474395,PF07686,V-set,113406601,113406849
ENSP00000374778,PF07686,V-set,88885866,88886135
ENSP00000420361,PF07686,V-set,88966280,88966531
ENSP00000374782,PF07686,V-set,88978486,88978740
ENSP00000419211,PF07686,V-set,88992427,88992678
ENSP00000419598,PF07686,V-set,89010000,89010251
ENSP00000420118,PF07686,V-set,89027189,89027440
ENSP00000420576,PF07686,V-set,89040242,89040493
ENSP00000374787,PF07686,V-set,89085192,89085446
ENSP00000417344,PF07686,V-set,89099868,89100128
ENSP00000418357,PF07686,V-set,89117360,89117611
ENSP00000418649,PF07686,V-set,89142592,89142846
ENSP00000374791,PF07686,V-set,89159769,89160017
ENSP00000419300,PF07686,V-set,89176346,89176612
ENSP00000418903,PF07686,V-set,89213438,89213692
ENSP00000419353,PF07686,V-set,89221716,89221982
ENSP00000418138,PF07686,V-set,89244799,89245065
ENSP00000420020,PF07686,V-set,89268019,89268270
ENSP00000417427,PF07686,V-set,89297288,89297533
ENSP00000419058,PF07686,V-set,89319643,89319894
ENSP00000480029,PF07686,V-set,89330133,89330402
ENSP00000409413,PF07686,V-set,89852204,89852473
ENSP00000406382,PF07686,V-set,89862710,89862961
ENSP00000425962,PF07686,V-set,89884945,89885190
ENSP00000374800,PF07686,V-set,89914276,89914527
ENSP00000418948,PF07686,V-set,89937395,89937661
ENSP00000417637,PF07686,V-set,89947985,89948251
ENSP00000393492,PF07686,V-set,89960464,89960730
ENSP00000374803,PF07686,V-set,89986418,89986684
ENSP00000417136,PF07686,V-set,90005345,90005611
ENSP00000413304,PF07686,V-set,90021919,90022167
ENSP00000374805,PF07686,V-set,90039207,90039461
ENSP00000374806,PF07686,V-set,90069969,90070223
ENSP00000418292,PF07686,V-set,90083022,90083273
ENSP00000418200,PF07686,V-set,90100469,90100729
ENSP00000403672,PF07686,V-set,90115131,90115385
ENSP00000480959,PF07686,V-set,90154305,90154559
ENSP00000482464,PF07686,V-set,90160066,90160317
ENSP00000374812,PF07686,V-set,90173143,90173394
ENSP00000374813,PF07686,V-set,90190410,90190661
ENSP00000417961,PF07686,V-set,90210260,90210511
ENSP00000420285,PF07686,V-set,90221113,90221364
ENSP00000402914,PF07686,V-set,90235096,90235350
ENSP00000354687,PF00146,NADHdh,3319,4218
ENSP00000355046,PF00361,Proton_antipo_M,4536,5321
ENSP00000355046,PF06444,NADH_dehy_S2_C,5337,5501
ENSP00000354499,PF00115,COX1,5943,7283
ENSP00000354876,PF02790,COX2_TM,7595,7834
ENSP00000354876,PF00116,COX2,7868,8224
ENSP00000355265,PF00895,ATP-synt_8,8366,8530
ENSP00000354632,PF00119,ATP-synt_A,8584,9192
ENSP00000354982,PF00510,COX3,9222,9989
ENSP00000355206,PF00507,Oxidored_q4,10101,10397
ENSP00000354728,PF00420,Oxidored_q2,10479,10763
ENSP00000354961,PF01059,Oxidored_q5_N,10760,11086
ENSP00000354961,PF00361,Proton_antipo_M,11093,11950
ENSP00000354813,PF00662,Proton_antipo_N,12538,12690
ENSP00000354813,PF00361,Proton_antipo_M,12736,13593
ENSP00000354813,PF06455,NADH5_C,13600,14142
ENSP00000354665,PF00499,Oxidored_q3,14164,14628
ENSP00000354554,PF00033,Cytochrome_B,14801,15358
ENSP00000354554,PF00032,Cytochrom_B_C,15521,15823
ENSP00000484923,PF06758,Olduvai,18279,18928
ENSP00000484923,PF06758,Olduvai,12814,16911
ENSP00000484923,PF06758,Olduvai,10921,11744
ENSP00000484923,PF06758,Olduvai,9375,10177
ENSP00000484923,PF06758,Olduvai,7830,8644
ENSP00000484923,PF06758,Olduvai,6208,7028
ENSP00000478665,PF06758,Olduvai,18279,18928
ENSP00000478665,PF06758,Olduvai,12814,16911
ENSP00000478665,PF06758,Olduvai,10921,11744
ENSP00000478665,PF06758,Olduvai,9375,10177
ENSP00000478665,PF06758,Olduvai,7830,8644
ENSP00000478665,PF06758,Olduvai,6208,7028
ENSP00000484693,PF15229,POM121,11840,12466
ENSP00000479139,PF12796,Ank_2,134045,138861
ENSP00000479139,PF12796,Ank_2,129278,134026
ENSP00000479139,PF14915,CCDC144C,108035,118423
ENSP00000477677,PF12796,Ank_2,134045,138861
ENSP00000477677,PF12796,Ank_2,129278,134026
ENSP00000481127,PF01619,Pro_dh,138558,148136
ENSP00000482462,PF01619,Pro_dh,138558,148172
ENSP00000482514,PF07324,DGCR6,131649,136910
ENSP00000481613,PF15229,POM121,72946,73572
ENSP00000473163,PF15897,DUF4741,35407,35913
ENSP00000478035,PF00276,Ribosomal_L23,6188,11474
ENSP00000480079,PF00209,SNF,1141311,1147437
ENSP00000482251,PF00209,SNF,1141311,1145726
ENSP00000478725,PF07686,V-set,1271017,1271271
ENSP00000483280,PF03148,Tektin,53677,53865
ENSP00000478910,PF03148,Tektin,54734,112803
